gene_id	KO_0dyn_rep1	KO_0dyn_rep2	KO_0dyn_rep3	KO_2dyn_rep1	KO_2dyn_rep2	KO_2dyn_rep3	KO_30dyn_rep1	KO_30dyn_rep2	KO_30dyn_rep3	WT_0dyn_rep1	WT_0dyn_rep2	WT_0dyn_rep3	WT_2dyn_rep1	WT_2dyn_rep2	WT_2dyn_rep3	WT_30dyn_rep1	WT_30dyn_rep2	WT_30dyn_rep3
ENSMUSG00000025903	   598	650	670	882	882	883	921	941	954	566	541	604	1162	1010	1117	1031	1189	1162
ENSMUSG00000033813	   365	410	363	342	374	383	398	439	414	387	356	410	540	456	472	501	522	559
ENSMUSG00000033793	  1437	1602	1445	2012	2053	2177	1601	1611	1501	708	705	817	1232	989	1071	917	955	1027
ENSMUSG00000025905	     5	1	1	10	6	2	1	2	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000025907	  1190	1361	1208	1874	1922	1910	1742	1785	1697	1191	1085	1261	1266	1320	1396	1445	1680	1558
ENSMUSG00000087247	     0	0	2	1	2	1	2	2	4	0	0	0	0	0	0	0	0	0
ENSMUSG00000033740	     5	5	1	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051285	  1296	1464	1366	1156	1168	1134	1042	1093	1024	398	355	415	334	326	379	336	380	375
ENSMUSG00000061024	   454	494	482	618	608	611	820	816	810	392	408	497	873	667	781	900	952	946
ENSMUSG00000025911	    68	75	76	136	129	134	20	36	31	18	11	19	20	14	15	1	5	13
ENSMUSG00000067879	     1	3	3	3	4	5	1	5	2	0	0	1	0	0	1	1	1	1
ENSMUSG00000025915	     0	2	1	3	0	0	0	0	1	341	259	352	522	448	466	340	347	401
ENSMUSG00000046101	    17	24	17	13	18	19	13	18	18	28	27	28	18	21	20	22	15	15
ENSMUSG00000056763	   560	629	511	558	575	518	448	547	471	970	895	1136	818	881	905	702	811	775
ENSMUSG00000048960	  1079	1133	1095	978	1053	1085	1501	1708	1410	28	19	41	24	29	20	37	47	57
ENSMUSG00000057715	     0	1	0	1	2	2	1	0	0	0	0	0	1	1	0	0	0	0
ENSMUSG00000016918	  1214	1282	1105	572	645	611	1933	1931	1736	1	1	1	0	3	1	0	0	0
ENSMUSG00000067813	     2	1	0	1	0	3	2	0	1	1	0	1	0	0	0	1	0	0
ENSMUSG00000092083	    75	62	53	20	38	30	15	16	15	0	0	0	0	0	0	0	0	0
ENSMUSG00000025925	   370	359	291	400	441	419	345	303	258	406	360	394	461	417	477	514	509	496
ENSMUSG00000025921	   287	327	313	540	557	550	344	430	372	220	237	280	735	590	592	890	986	938
ENSMUSG00000025940	   442	483	424	561	531	545	497	492	468	427	421	507	541	443	481	412	498	535
ENSMUSG00000025779	    67	103	75	92	104	93	94	94	73	43	40	42	41	41	61	39	35	38
ENSMUSG00000025777	     2	0	2	1	1	3	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000067780	   182	217	194	226	300	231	25	27	28	0	0	0	0	0	0	1	0	0
ENSMUSG00000025776	     1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042596	     0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025927	     0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000025929	     0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025931	   597	627	534	531	660	506	142	151	121	179	160	218	229	242	285	287	312	315
ENSMUSG00000041809	    80	102	75	71	71	84	25	30	31	0	0	2	0	0	2	1	0	0
ENSMUSG00000025933	    43	57	51	75	98	106	42	60	55	22	25	31	64	48	44	59	55	61
ENSMUSG00000025934	     2	1	1	3	2	3	2	3	2	1	1	3	3	1	3	0	0	3
ENSMUSG00000067750	     0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041722	     0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085079	     0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026156	    15	21	20	7	14	12	10	21	12	13	7	19	9	9	10	7	7	15
ENSMUSG00000026147	     0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073725	   797	860	747	701	801	784	739	776	689	420	386	457	600	497	589	472	537	487
ENSMUSG00000050217	     0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026063	     0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
